Age,mu_1905,mu_1906,mu_1907,mu_1908,mu_1909,mu_1910,mu_1911,mu_1912,mu_1913,mu_1914,mu_1915,mu_1916,mu_1917,mu_1918,mu_1919,mu_1920,mu_1921,mu_1922,mu_1923,mu_1924,mu_1925,mu_1926,mu_1927,mu_1928,mu_1929,mu_1930,mu_1931,mu_1932,mu_1933,mu_1934,mu_1935,mu_1936,mu_1937,mu_1938,mu_1939,mu_1940
31,0.006192372,0.006520501,0.006475114,0.006250156,0.006109865,0.005546664,0.004971017,0.004745069,0.004758937,0.005122382,0.007300308,0.005306382,0.006328833,0.0146294,0.005852097,0.003092464,0.004485463,0.004612315,0.004158953,0.004105484,0.003984498,0.003758791,0.003892911,0.003833595,0.004085619,0.003679998,0.003660897,0.003500672,0.003706438,0.003407497,0.003245456,0.003099484,0.003219966,0.002972889,0.002867702,0.004221741
32,0.006523673,0.006854721,0.006807,0.006570473,0.00642297,0.005830823,0.005292868,0.005054737,0.005093564,0.005487346,0.007381279,0.005498804,0.006431103,0.014470371,0.006204801,0.00341498,0.004772684,0.004889691,0.004371823,0.004335065,0.004170719,0.003902695,0.004053479,0.004045039,0.004309083,0.003853349,0.0037957,0.00361518,0.003854288,0.003541328,0.003341362,0.00320317,0.003351001,0.003068702,0.002951605,0.004306568
33,0.006848709,0.007186236,0.007135536,0.006875809,0.006736792,0.006135549,0.005611307,0.005386829,0.005419519,0.005815797,0.007657585,0.005843191,0.0067457,0.014104925,0.006419445,0.003758528,0.005012614,0.005174209,0.004627382,0.004622184,0.004427292,0.004142398,0.004336865,0.004240761,0.004548867,0.004043666,0.003992113,0.003787211,0.00403911,0.003709397,0.003520437,0.003381036,0.0035018,0.003210517,0.003087208,0.004446043
34,0.007177477,0.007527535,0.007473723,0.007189326,0.007060087,0.006450777,0.005957561,0.005748703,0.005774486,0.006172893,0.007953386,0.006197566,0.007067847,0.013706612,0.006637206,0.004114336,0.005264761,0.005475809,0.004898348,0.004928556,0.004700067,0.004415373,0.004659055,0.004464479,0.004822331,0.004261125,0.004225679,0.003992925,0.004260008,0.00391041,0.003732907,0.003595171,0.003686868,0.003384097,0.003253277,0.004623918
35,0.007399021,0.007849081,0.007792236,0.007482819,0.007365157,0.00675121,0.006371009,0.006178924,0.006197027,0.006599409,0.008317892,0.006489206,0.007315525,0.013127856,0.006782062,0.004432784,0.005629931,0.005900562,0.00527961,0.005350695,0.005080475,0.004790133,0.00509369,0.004783423,0.005203355,0.004570043,0.004541352,0.004274217,0.00456174,0.004185376,0.004018708,0.003898985,0.003959446,0.003638466,0.003496904,0.004904592
36,0.00778934,0.008234134,0.008173727,0.007835603,0.007730122,0.007108503,0.006743903,0.006573425,0.006582639,0.006983696,0.008607767,0.006860188,0.007649898,0.012670594,0.007004359,0.004809461,0.005856097,0.006185114,0.005535626,0.005650582,0.005342146,0.005102917,0.00546771,0.005032379,0.005513222,0.004812717,0.004838854,0.004536183,0.004843057,0.00444135,0.004289343,0.004181873,0.004205766,0.003869252,0.003717748,0.00514479
37,0.008235691,0.008653146,0.00858885,0.008219282,0.00812732,0.007497675,0.007112626,0.006967209,0.006966514,0.007363462,0.008872237,0.007253138,0.00800506,0.012201092,0.007241758,0.005206971,0.006076823,0.006468379,0.005790622,0.005953194,0.005604258,0.005426589,0.005858219,0.005284703,0.005831376,0.005059179,0.005141746,0.004801035,0.005127663,0.004700085,0.004565639,0.004481352,0.004463963,0.004111488,0.00394948,0.005391825
38,0.008749727,0.009098473,0.009030854,0.008642185,0.008545471,0.007883302,0.007490458,0.007333638,0.007325404,0.007728373,0.009181956,0.007538759,0.008254282,0.012184786,0.007486243,0.005488783,0.00634262,0.006729814,0.006065981,0.006233133,0.005941503,0.005725974,0.00618563,0.005599929,0.006221168,0.005351624,0.00545523,0.005075463,0.005438374,0.004955269,0.004819243,0.004724211,0.00476041,0.004366335,0.00420648,0.005664486
39,0.009284171,0.009563777,0.009492683,0.009084047,0.008982366,0.008286203,0.007882526,0.007713665,0.007697183,0.008105551,0.009494212,0.007855056,0.008533531,0.012191358,0.007758985,0.005797052,0.006615606,0.006996885,0.006350262,0.006521951,0.006294029,0.006036303,0.006525348,0.005928574,0.006630673,0.005655825,0.005774744,0.005353486,0.005754885,0.005212476,0.005075447,0.004976047,0.005072167,0.004633154,0.004476403,0.005945668
40,0.010025178,0.010101897,0.010026782,0.009595044,0.009487616,0.008752123,0.008160712,0.007981971,0.007956896,0.008363564,0.009656599,0.008124911,0.008758997,0.012100851,0.007983813,0.006074926,0.006808824,0.007177808,0.0065598,0.006733739,0.006578252,0.006386977,0.00690922,0.006299807,0.007093048,0.00599949,0.006035798,0.005575505,0.006012947,0.005413805,0.005277823,0.005223755,0.005386129,0.004899897,0.004747664,0.006219619
