Age,mu_1905,mu_1906,mu_1907,mu_1908,mu_1909,mu_1910,mu_1911,mu_1912,mu_1913,mu_1914,mu_1915,mu_1916,mu_1917,mu_1918,mu_1919,mu_1920,mu_1921,mu_1922,mu_1923,mu_1924,mu_1925,mu_1926,mu_1927,mu_1928,mu_1929,mu_1930,mu_1931,mu_1932,mu_1933,mu_1934,mu_1935,mu_1936,mu_1937,mu_1938,mu_1939,mu_1940
71,0.063126364,0.063156602,0.066370338,0.063460625,0.06684545,0.05996019,0.061959339,0.06333019,0.062063125,0.063461075,0.069594127,0.062056917,0.057928879,0.055618591,0.057268591,0.049719996,0.051228026,0.056517132,0.050479594,0.054675907,0.052208281,0.04998734,0.053629611,0.050423493,0.059139874,0.04894536,0.053284209,0.051670921,0.052811708,0.050255615,0.049295751,0.050311228,0.050744592,0.046194953,0.048380811,0.053717397
72,0.06853647,0.06884745,0.072361386,0.069179826,0.072880968,0.065353501,0.06733184,0.069105467,0.067718914,0.06947275,0.076408994,0.069312001,0.064335507,0.060763372,0.063421614,0.054773721,0.057040419,0.06289462,0.055803025,0.060933371,0.057688941,0.055185738,0.05906023,0.055848544,0.065726964,0.054710142,0.058783616,0.056889581,0.058547793,0.05564338,0.054381587,0.055673467,0.056242065,0.051083135,0.053653533,0.059513465
73,0.074198626,0.074675353,0.078093883,0.074934917,0.0787428,0.070731156,0.073116941,0.074931141,0.073426195,0.07541364,0.083456414,0.075968678,0.071347356,0.06696786,0.070598451,0.060756566,0.063185067,0.069650658,0.061715534,0.067269587,0.064463774,0.061124584,0.065851058,0.061469778,0.073297767,0.060272083,0.065254741,0.063155875,0.064742999,0.061232725,0.060193252,0.061660473,0.062271361,0.056757644,0.059783585,0.06612574
74,0.080288029,0.080714466,0.083984757,0.080885832,0.084778547,0.076283799,0.079101544,0.080942597,0.079315151,0.08155578,0.090815099,0.083143268,0.079019086,0.073703878,0.078482983,0.067300573,0.069733266,0.076849008,0.068001268,0.073988571,0.071768322,0.067607335,0.073321908,0.067556078,0.081631821,0.066301479,0.07252333,0.070193824,0.071676299,0.067455837,0.066701549,0.06839081,0.069047471,0.063154037,0.066712388,0.073583759
75,0.087709547,0.087824353,0.090921796,0.087891914,0.091886666,0.082818484,0.083977979,0.0858014,0.084075394,0.086549438,0.096970585,0.093441689,0.089877643,0.083293088,0.089601853,0.076542961,0.076486992,0.08427065,0.074465343,0.080875588,0.079409668,0.075355096,0.082276879,0.074811521,0.09163045,0.07349112,0.079849256,0.077287804,0.078609838,0.073611761,0.073222712,0.076579728,0.077291844,0.07093991,0.075156236,0.082671694
76,0.094699049,0.094535243,0.097371506,0.094479711,0.098518905,0.088948567,0.090985653,0.092820326,0.090950196,0.093737593,0.105689087,0.101245415,0.098581607,0.090774048,0.098647461,0.083962511,0.084097653,0.092636196,0.081738838,0.08861576,0.088079105,0.082732504,0.090943064,0.081597477,0.101312313,0.080234467,0.088678362,0.085835299,0.086959424,0.081014906,0.081073011,0.0844828,0.08524237,0.078512022,0.083422217,0.091512447
77,0.102197062,0.101759984,0.10427682,0.101561855,0.105629509,0.095531127,0.09903293,0.100876212,0.098839548,0.101992412,0.115736469,0.109290198,0.107742997,0.098567225,0.108219149,0.091769562,0.092393155,0.101755611,0.089650119,0.097017926,0.097621634,0.0904558,0.100109789,0.088621505,0.111561435,0.0872266,0.098236201,0.095087339,0.095950755,0.088927062,0.089535057,0.092778209,0.093583535,0.086499187,0.092180634,0.100843823
78,0.110300804,0.109208021,0.111919588,0.108994584,0.113377155,0.102499491,0.109629979,0.110845136,0.107687205,0.110562548,0.12591876,0.119414058,0.116516197,0.105874746,0.117443978,0.100998396,0.10148879,0.111648821,0.098993692,0.106655494,0.10693988,0.098887594,0.108928145,0.096938261,0.121023255,0.095589033,0.10816712,0.105087883,0.106343682,0.097541392,0.098320213,0.10178557,0.10267317,0.094867564,0.101126992,0.110678496
79,0.118934267,0.117076857,0.119995782,0.116847124,0.12156506,0.109857911,0.121379127,0.121823522,0.11734051,0.119855364,0.137017444,0.130041764,0.125571629,0.113315231,0.127025114,0.1107735,0.111435847,0.122458888,0.109269605,0.117207634,0.117099622,0.107929526,0.118328642,0.105862588,0.131068128,0.10458205,0.119044568,0.116086484,0.117809576,0.106927979,0.107906955,0.111462886,0.112439717,0.103852386,0.110738157,0.121253776
80,0.124802569,0.124935136,0.128062818,0.124689001,0.129744599,0.117202697,0.136770066,0.136267241,0.130110237,0.132205611,0.151754101,0.134737217,0.128762386,0.115409844,0.130720969,0.115635722,0.123686536,0.135787537,0.121923431,0.130211605,0.129619183,0.114536944,0.124961415,0.112410662,0.137965193,0.111257758,0.131539698,0.128751244,0.131039291,0.117669892,0.118888341,0.117741193,0.118776382,0.109678089,0.116973206,0.128119752
81,0.1357332,0.134380878,0.137761727,0.134114855,0.139579993,0.126026203,0.146606271,0.144889086,0.137840745,0.139193123,0.160259294,0.147339197,0.138648215,0.123523804,0.141435492,0.126408444,0.133639912,0.146807479,0.132979061,0.140821485,0.139724966,0.125897042,0.136854031,0.123832658,0.150181623,0.121996551,0.142117926,0.139502007,0.142303124,0.12707095,0.12845971,0.129493752,0.131073345,0.120112263,0.128726956,0.141004377
82,0.148358236,0.145041161,0.148710695,0.144752468,0.150684659,0.13597762,0.157041547,0.154588197,0.147085455,0.148276116,0.171170707,0.162408749,0.151302352,0.134506303,0.154419029,0.139379351,0.144707848,0.159193326,0.145677989,0.152611272,0.151385712,0.139514589,0.151432699,0.136208977,0.164931444,0.134240481,0.154008578,0.151871428,0.156052679,0.137403991,0.139390993,0.142708638,0.145246455,0.132033859,0.14228733,0.156309184
83,0.164644544,0.158289361,0.161571441,0.156842958,0.162916002,0.147244594,0.166365999,0.166934326,0.160506337,0.162897479,0.187711006,0.181238524,0.170233732,0.150942938,0.172730724,0.153172097,0.160476653,0.174175574,0.159511257,0.167010284,0.166932199,0.156234689,0.167739911,0.152145894,0.182918034,0.149172656,0.169611696,0.166992284,0.173041125,0.150036217,0.153476712,0.157293303,0.161350448,0.146091612,0.15931941,0.173744258
84,0.183261596,0.173521826,0.176328395,0.170691113,0.176913881,0.160136827,0.177061181,0.181392558,0.175417459,0.178852482,0.204658336,0.199892133,0.191388263,0.166216852,0.191760031,0.168417305,0.178970381,0.191868221,0.173618512,0.182903264,0.182255334,0.174542084,0.184171742,0.17226637,0.201992822,0.165166919,0.187068593,0.184357988,0.19137498,0.165463682,0.169284043,0.174200861,0.178451812,0.161157782,0.17665323,0.191494696
85,0.202860079,0.180487779,0.182571033,0.176261415,0.182254214,0.165293288,0.189633262,0.198331049,0.188168925,0.194856718,0.223938248,0.218433009,0.211545233,0.180272339,0.208123672,0.180697026,0.193388383,0.207502523,0.187681649,0.197651139,0.19861764,0.191877807,0.202177437,0.189547874,0.220975389,0.17997998,0.203664392,0.203280194,0.207315057,0.181635383,0.183584312,0.191867699,0.194465728,0.175264339,0.192210127,0.208531013
